Programm log: 0.014893054962: Including mr_ses 0.019701004028: Including mr_sql 0.023802995682: Database connected 0.023941993713: SELECT * FROM mr_sessions WHERE user_id IS NULL AND remote_addr='84.237.120.114' 0.024972915649: DELETE FROM mr_sessions WHERE timeМосква
Мурманск
Архангельск
Астрахань
Белгород
Нижний Новгород
Новосибирск
Брянск
Омск
Орёл
Оренбург
Владимир
Волгоград
Вологда
Пенза
Воронеж
Пермь
Псков
Рязань
Самара
Санкт-Петербург
Саратов
Смоленск
Иваново
Иркутск
Калининград
Калуга
Тамбов
Кемерово
Тверь
Киров
Томск
Тула
Тюмень
Ульяновск
Кострома
Челябинск
Курган
Курск
Чита
Липецк
Магадан
Ярославль


cities in regs: 195
Томари (Сахалинская область)
Томмот (Республика Саха (Якутия))
Кировград (Свердловская область)
Кирово-Чепецк (Кировская область)
Топки (Кемеровская область)
Кировск (Ленинградская область)
Торжок (Тверская область)
Кировск (Мурманская область)
Торопец (Тверская область)
Кирс (Кировская область)
Тосно (Ленинградская область)
Кирсанов (Тамбовская область)
Тотьма (Вологодская область)
Киселевск (Кемеровская область)
Трехгорный (Челябинская область)
Кисловодск (Ставропольский край)
Троицк (Московская область)
Троицк (Челябинская область)
Клин (Московская область)
Трубчевск (Брянская область)
Клинцы (Брянская область)
Туапсе (Краснодарский край)
Княгинино (Нижегородская область)
Туймазы (Республика Башкортостан)
Ковдор (Мурманская область)
Тулун (Иркутская область)
Ковылкино (Республика Мордовия)
Туран (Республика Тыва)
Когалым (Ханты-Мансийский автономный округ - Югра)
Туринск (Свердловская область)
Кодинск (Красноярский край)
Тутаев (Ярославская область)
Козельск (Калужская область)
Тында (Амурская область)
Козловка (Чувашская Республика-Чувашия)
Тырныауз (Кабардино-Балкарская Республика)
Козьмодемьянск (Республика Марий Эл)
Тюкалинск (Омская область)
Кола (Мурманская область)
Кологрив (Костромская область)
Уварово (Тамбовская область)
Коломна (Московская область)
Углегорск (Сахалинская область)
Колпашево (Томская область)
Углич (Ярославская область)
Кольчугино (Владимирская область)
Удачный (Республика Саха (Якутия))
Коммунар (Ленинградская область)
Удомля (Тверская область)
Комсомольск (Ивановская область)
Ужур (Красноярский край)
Узловая (Тульская область)
Конаково (Тверская область)
Кондопога (Республика Карелия)
Кондрово (Калужская область)
Унеча (Брянская область)
Константиновск (Ростовская область)
Урай (Ханты-Мансийский автономный округ - Югра)
Копейск (Челябинская область)
Урень (Нижегородская область)
Кораблино (Рязанская область)
Уржум (Кировская область)
Кореновск (Краснодарский край)
Урус-Мартан (Чеченская Республика)
Коркино (Челябинская область)
Усинск (Республика Коми)
Короча (Белгородская область)
Усмань (Липецкая область)
Корсаков (Сахалинская область)
Усолье (Пермский край)
Коряжма (Архангельская область)
Усолье-Сибирское (Иркутская область)
Костерево (Владимирская область)
Усть-Джегута (Карачаево-Черкесская Республика)
Котельники (Московская область)
Усть-Катав (Челябинская область)
Котельниково (Волгоградская область)
Котельнич (Кировская область)
Усть-Лабинск (Краснодарский край)
Котлас (Архангельская область)
Устюжна (Вологодская область)
Котово (Волгоградская область)
Котовск (Тамбовская область)
Ухта (Республика Коми)
Кохма (Ивановская область)
Учалы (Республика Башкортостан)
Красавино (Вологодская область)
Уяр (Красноярский край)
Красноармейск (Московская область)
Фатеж (Курская область)
Красноармейск (Саратовская область)
Фокино (Брянская область)
Красновишерск (Пермский край)
Фокино (Приморский край)
Фролово (Волгоградская область)
Краснозаводск (Московская область)
Фурманов (Ивановская область)
Краснознаменск (Калининградская область)
Краснознаменск (Московская область)
Хадыженск (Краснодарский край)
Краснокаменск (Читинская область)
Ханты-Мансийск (Ханты-Мансийский автономный округ - Югра)
Краснокамск (Пермский край)
Харабали (Астраханская область)
Краснослободск (Волгоградская область)
Харовск (Вологодская область)
Краснослободск (Республика Мордовия)
Хасавюрт (Республика Дагестан)
Краснотурьинск (Свердловская область)
Хвалынск (Саратовская область)
Красноуральск (Свердловская область)
Хилок (Читинская область)
Красноуфимск (Свердловская область)
Холм (Новгородская область)
Красный Кут (Саратовская область)
Холмск (Сахалинская область)
Красный Сулин (Ростовская область)
Хотьково (Московская область)
Красный Холм (Тверская область)
Цивильск (Чувашская Республика-Чувашия)
Кропоткин (Краснодарский край)
Цимлянск (Ростовская область)
Крымск (Краснодарский край)
Чадан (Республика Тыва)
Кстово (Нижегородская область)
Чапаевск (Самарская область)
Кувандык (Оренбургская область)
Чаплыгин (Липецкая область)
Кувшиново (Тверская область)
Чебаркуль (Челябинская область)
Кудымкар (Пермский край)
Кузнецк (Пензенская область)
Чегем (Кабардино-Балкарская Республика)
Куйбышев (Новосибирская область)
Чекалин (Тульская область)
Кулебаки (Нижегородская область)
Кумертау (Республика Башкортостан)
Чердынь (Пермский край)
Черемхово (Иркутская область)
Купино (Новосибирская область)
Черепаново (Новосибирская область)
Курган
Курганинск (Краснодарский край)
Черкесск (Карачаево-Черкесская Республика)
Курильск (Сахалинская область)
Чермоз (Пермский край)
Курлово (Владимирская область)
Куровское (Московская область)
Черногорск (Республика Хакасия)
Чернушка (Пермский край)
Куртамыш (Курганская область)
Черняховск (Калининградская область)
Курчатов (Курская область)
Куса (Челябинская область)
Чистополь (Республика Татарстан)
Кызыл (Республика Тыва)
Чкаловск (Нижегородская область)
Кыштым (Челябинская область)
Чудово (Новгородская область)
Кяхта (Республика Бурятия)
Чулым (Новосибирская область)
Лабинск (Краснодарский край)
Чусовой (Пермский край)
Лабытнанги (Ямало-Ненецкий автономный округ)
Чухлома (Костромская область)
Лагань (Республика Калмыкия)
Шагонар (Республика Тыва)
Ладушкин (Калининградская область)
Шадринск (Курганская область)
Лаишево (Республика Татарстан)
Шали (Чеченская Республика)
Лакинск (Владимирская область)
Шарыпово (Красноярский край)
Лангепас (Ханты-Мансийский автономный округ - Югра)
Шарья (Костромская область)
Лахденпохья (Республика Карелия)
Шатура (Московская область)
Лебедянь (Липецкая область)
Шахтерск (Сахалинская область)
Лениногорск (Республика Татарстан)
Шахты (Ростовская область)
Ленинск (Волгоградская область)
Шахунья (Нижегородская область)
Ленинск-Кузнецкий (Кемеровская область)
Шацк (Рязанская область)
Шебекино (Белгородская область)
Лермонтов (Ставропольский край)
Шелехов (Иркутская область)
Лесной (Свердловская область)
Шенкурск (Архангельская область)
Лесозаводск (Приморский край)
Шилка (Читинская область)
Лесосибирск (Красноярский край)
